5.0758,5.6047
4.9912,7.0983
9.115,10.05
7.3034,8.4375
8.9971,10.012
8.0492,9.6144
4.4793,5.0945
2.3501,2.9801
0.67124,0.77706
2.842,3.0783
4.3174,5.4521
4.5512,5.5074
9.7935,11.178
9.2691,10.013
5.9757,7.204
5.8368,7.2114
1.1307,3.0941
3.992,4.9488
9.4288,10.337
2.1432,3.1874
1.7045,2.7416
3.4688,4.3834
6.2019,8.1394
4.3574,5.9767
4.1583,4.8988
2.852,4.2658
9.0509,10.673
6.8278,7.3611
1.0426,1.5064
0.83478,1.6621
0.13394,1.249
9.1876,10.247
3.6757,4.6239
4.2202,5.3184
5.7571,6.2803
1.8602,2.4206
0.22226,1.3957
6.58,7.4808
4.5865,5.3786
1.9999,2.1434
1.9652,3.0702
6.9357,8.1259
7.4742,7.7778
5.4333,6.3328
5.2586,6.2455
4.0671,5.4726
5.5697,6.1995
7.3063,7.986
2.9351,3.5275
7.8456,7.9553
0.75819,1.7905
4.7168,5.873
3.9916,4.5897
9.1111,9.634
4.2802,4.6903
9.4508,10.352
4.0453,5.5781
2.425,2.0109
8.7262,8.5927
4.9399,6.4592
4.2357,4.8765
5.5237,6.4916
2.4857,4.0748
2.5716,4.3332
2.0974,3.1125
5.8062,7.135
8.3515,9.4459
8.5266,9.7632
6.439,7.2541
9.8501,10.097
9.7898,11.074
6.8263,8.139
7.8548,8.6534
3.488,4.2035
7.8051,8.078
0.46397,1.1956
3.5283,4.2291
3.57,4.3815
1.2974,3.1216
9.8225,10.999
4.1575,4.956
4.0649,5.2137
7.8269,8.9732
4.332,5.914
5.7628,7.1959
6.5047,8.002
0.33011,1.412
4.0401,5.2225
9.5894,11.12
5.9552,6.9996
9.3308,9.5507
9.3704,10.456
7.5574,8.0866
5.3891,6.3516
8.2429,9.0018
0.10747,0.76154
7.4652,9.0317
1.0303,1.8385
0.48411,1.484
1.8569,2.8932
4.7284,5.0135
0.096356,1.6803
8.5818,9.5082
4.7349,6.1354
1.4993,2.6351
2.4545,4.0191
0.56791,1.1971
2.0524,2.193
4.6549,5.3978
4.6098,5.2902
3.5106,3.9033
4.41,5.9804
3.2941,4.7632
5.721,7.1328
9.9235,10.015
7.1785,7.3112
3.61,5.3887
5.7273,6.7679
3.8033,5.0651
3.7208,4.5494
4.2427,4.3854
7.4313,8.4033
3.6008,4.4678
6.2649,8.6058
8.5287,8.9513
1.2002,2.0086
1.7434,2.2602
9.5063,11.498
9.775,11.128
2.52,2.9114
2.8462,4.007
